אולם;אוּלָם
אולת;אִוֶּלֶת
אומר;אֹומָר
און;אָוֶן
און;אֹון
אונו;אֹונֹו
אוני;אֹונִי
אונם;אֹונָם
אונן;אֹונָן
אופז;אוּפָז
אופיר;אֹופִיר
אופן;אֹופַן
אוץ;אוץ
אוצר;אֹוצָר
אור;אור
אור;אוּר
אור;אֹור
אורה;אֲוֵרָה
אורה;אֹורָה
אורי;אוּרִי
אוריאל;אוּרִיאֵל
אוריה;אוּרִיָּה
אות;אות
אות;אֹות
אז;אָז
אזבי;אֶזְבָּי
אזדא;אַזְדָּא
אזה;אזה
אזוב;אֵזֹוב
אזור;אֵזֹור
אזי;אֲזַי
אזכרה;אַזְכָּרָה
אזל;אזל
אזל;אֶזֶל
אזן;אזן
אזן;אָזֵן
אזן;אֹזֶן
אזן שׁארה;אֻזֵּן שֶׁאֱרָה
אזנות תבור;אַזְנֹות תָּבֹור
אזני;אָזְנִי
אזניה;אֲזַנְיָה
אזקים;אֲזִקִּים
אזר;אזר
אזרוע;אֶזְרֹועַ
אזרח;אֶזְרָח
אזרחי;אֶזְרָחִי
אח;אַח
אח;אָח
אח;אֹחַ
אחאב;אַחְאָב
אחב;אֶחָב
אחבן;אַחְבָּן
אחד;אחד
אחד;אֶחָד
אחו;אָחוּ
אחוד;אֵחוּד
אחוה;אַחֲוָה
אחוז;אָחוּז
אחוח;אֲחֹוחַ
אחוחי;אֲחֹוחִי
אחומי;אֲחוּמַי
אחור;אָחֹור
אחות;אָחֹות
אחז;אחז
אחז;אָחָז
אחזה;אֲחֻזָּה
אחזי;אַחְזַי
אחזיה;אֲחַזְיָה
אחזם;אֲחֻזָּם
אחזת;אֲחֻזַּת
אחי;אֲחִי
אחי;אֵחִי
אחיאם;אֲחִיאָם
אחידה;אֲחִידָה
אחיה;אֲחִיָּה
אחיהוד;אֲחִיהוּד
אחיו;אַחְיֹו
אחיחד;אֲחִיחֻד
אחיטוב;אֲחִיטוּב
אחילוד;אֲחִילוּד
אחימות;אֲחִימֹות
אחימלך;אֲחִימֶלֶךְ
אחימן;אֲחִימַן
אחימעץ;אֲחִימַעַץ
אחין;אַחְיָן
אחינדב;אֲחִינָדָב
אחינעם;אֲחִינֹעַם
אחיסמך;אֲחִיסָמָךְ
אחיעזר;אֲחִיעֶזֶר
אחיקם;אֲחִיקָם
אחירם;אֲחִירָם
אחירמי;אֲחִירָמִי
אחירע;אֲחִירַע
אחישׁחר;אֲחִישָׁחַר
